claim_id,policy_id,claim_date,claim_amount,claim_status,claim_type,fraud_flag,days_to_process
CLM70000,POL50356,2025-12-08,1379173.1,Pending,Death,Yes,4
CLM70001,POL50689,2023-03-06,51992.54,Approved,Other,No,41
CLM70002,POL51048,2023-03-24,230303.22,Pending,Other,No,44
CLM70003,POL51484,2026-08-15,1756085.1,Rejected,Death,No,29
CLM70004,POL51823,2021-09-14,273937.91,Approved,Hospital,No,1
CLM70005,POL50457,2024-02-06,223326.99,Rejected,Hospital,No,39
CLM70006,POL50533,2025-02-10,231189.32,Approved,Other,No,22
CLM70007,POL50488,2022-03-31,339906.64,Pending,Theft,No,11
CLM70008,POL52130,2021-09-03,233789.27,Approved,Theft,No,17
CLM70009,POL50852,2024-09-10,242688.19,Pending,Theft,No,42
CLM70010,POL50469,2022-04-12,2060833.31,Approved,Death,No,35
CLM70011,POL51213,2022-02-26,1316817.68,Approved,Death,No,27
CLM70012,POL50698,2022-09-11,100534.98,Rejected,Other,No,33
CLM70013,POL51040,2024-01-16,1695470.76,Rejected,Death,No,38
CLM70014,POL52328,2025-11-02,846012.49,Pending,Death,No,28
CLM70015,POL50940,2023-11-22,915102.67,Approved,Death,No,14
CLM70016,POL50493,2021-12-13,949404.53,Approved,Death,No,4
CLM70017,POL50656,2022-04-13,405813.97,Rejected,Accident,No,6
CLM70018,POL50093,2023-09-12,599374.96,Rejected,Accident,Yes,11
CLM70019,POL52548,2026-08-03,182211.4,Approved,Theft,No,34
CLM70020,POL51967,2025-10-10,427770.96,Pending,Theft,No,5
CLM70021,POL51303,2025-11-18,977197.64,Rejected,Death,No,6
CLM70022,POL51581,2024-05-28,503984.19,Approved,Accident,No,44
CLM70023,POL50716,2025-10-13,165645.81,Rejected,Other,No,18
CLM70024,POL51137,2025-01-29,195439.15,Approved,Accident,No,6
CLM70025,POL50902,2025-12-20,653609.74,Rejected,Accident,No,39
CLM70026,POL52330,2024-10-04,163970.27,Pending,Hospital,No,43
CLM70027,POL52098,2023-11-01,108118.81,Rejected,Other,No,23
CLM70028,POL50801,2024-11-08,117402.41,Approved,Hospital,No,5
CLM70029,POL52151,2022-08-06,1696001.2,Approved,Death,No,28
CLM70030,POL50263,2025-10-07,318097.82,Rejected,Other,No,38
CLM70031,POL50572,2024-12-17,301275.71,Approved,Accident,No,43
CLM70032,POL50298,2022-07-12,152860.29,Rejected,Accident,Yes,26
CLM70033,POL50672,2025-05-20,149492.45,Pending,Other,No,42
CLM70034,POL50638,2024-05-28,214895.37,Pending,Accident,No,37
CLM70035,POL52546,2024-01-20,131419.34,Approved,Hospital,No,8
CLM70036,POL50922,2023-02-14,704824.6,Approved,Death,Yes,28
CLM70037,POL51000,2025-01-04,231788.35,Pending,Theft,No,30
CLM70038,POL50279,2026-06-21,184726.53,Rejected,Accident,Yes,34
CLM70039,POL50183,2024-02-20,173556.33,Approved,Other,No,24
