agent_id,region,join_date,total_policies_sold,lapsed_policies,avg_premium_sold,fraud_association
AGT5000,Central,2025-02-05,14,8,28428.89,0
AGT5001,Central,2023-01-20,18,3,27006.22,9
AGT5002,North-East,2023-06-28,6,2,31011.05,1
AGT5003,East,2022-10-15,15,6,27809.79,1
AGT5004,Central,2024-06-15,9,2,30354.31,0
AGT5005,East,2024-09-22,13,2,29279.41,1
AGT5006,Central,2023-09-28,6,1,25073.54,0
AGT5007,Central,2022-11-04,7,2,24386.2,0
AGT5008,North,2022-10-20,9,1,29321.63,0
AGT5009,East,2020-11-15,7,1,29698.71,0
AGT5010,East,2022-05-20,7,2,31078.17,0
AGT5011,South,2022-12-28,7,2,26780.74,0
AGT5012,West,2021-10-17,9,2,30653.83,0
AGT5013,West,2024-02-08,11,3,25391.17,6
AGT5014,East,2021-06-13,9,1,27776.39,0
AGT5015,North-East,2023-02-24,11,3,26476.19,0
AGT5016,South,2023-10-27,11,3,27807.52,1
AGT5017,South,2023-04-19,17,5,29430.8,0
AGT5018,Central,2022-02-15,14,4,24476.48,0
AGT5019,North-East,2022-11-10,3,0,25926.63,0
AGT5020,North-East,2025-03-17,15,8,29428.1,0
AGT5021,East,2023-01-23,8,2,29613.08,0
AGT5022,North,2021-06-01,12,2,28822.42,0
AGT5023,East,2021-04-24,4,0,28595.01,0
AGT5024,East,2025-03-09,10,4,29636.8,0
AGT5025,North-East,2024-11-17,5,0,28558.34,0
AGT5026,Central,2023-04-16,17,2,27225.18,2
AGT5027,East,2022-02-24,7,3,29306.18,0
AGT5028,South,2020-11-29,6,1,23075.98,0
AGT5029,North,2021-01-20,7,4,26006.69,0
AGT5030,North-East,2020-11-24,10,5,27766.38,1
AGT5031,Central,2021-03-18,15,6,28521.71,1
AGT5032,Central,2022-10-18,9,3,28092.47,0
AGT5033,South,2021-02-22,13,2,26526.97,4
AGT5034,Central,2023-12-23,6,2,26058.97,2
AGT5035,North,2023-07-08,9,1,26879.38,0
AGT5036,West,2021-12-09,4,1,27570.43,0
AGT5037,South,2021-12-12,5,3,28382.63,0
AGT5038,Central,2021-01-30,10,2,26210.06,0
AGT5039,North,2023-03-11,8,2,26517.7,1
AGT5040,North-East,2021-03-30,12,5,27040.2,1
AGT5041,North,2023-12-25,13,3,30379.79,1
AGT5042,East,2021-07-27,10,3,29754.61,1
AGT5043,North-East,2021-08-01,15,2,27100.97,0
AGT5044,East,2022-08-21,15,5,29196.9,0
AGT5045,South,2021-02-02,7,1,28087.39,0
AGT5046,North-East,2025-01-20,4,1,27503.76,0
AGT5047,East,2022-02-28,7,1,31462.09,0
AGT5048,South,2023-08-11,10,3,29426.45,0
AGT5049,East,2022-12-12,12,5,26090.76,0
AGT5050,South,2024-01-09,6,3,29488.46,0
AGT5051,East,2023-10-17,7,2,28188.99,0
AGT5052,North,2021-12-31,7,3,27558.27,1
AGT5053,East,2025-07-04,11,3,29649.16,2
AGT5054,North,2025-01-11,12,3,28803.42,1
AGT5055,North,2021-08-10,10,1,29632.49,0
AGT5056,West,2021-08-06,5,1,30556.2,0
AGT5057,North,2024-05-29,8,1,30112.5,0
AGT5058,North,2023-09-11,13,2,27802.7,0
AGT5059,East,2025-01-11,5,0,30649.82,0
AGT5060,North,2021-03-16,13,2,26520.15,0
AGT5061,North,2023-05-06,12,5,28983.86,0
AGT5062,Central,2020-09-13,10,3,25833.58,2
AGT5063,North,2021-04-04,15,6,29727.29,0
AGT5064,North,2021-07-13,7,0,31063.94,0
AGT5065,North-East,2023-01-22,3,1,31435.6,0
AGT5066,North,2024-02-18,11,6,28666.54,1
AGT5067,Central,2025-01-06,8,1,30263.55,0
AGT5068,West,2025-07-02,11,4,26069.03,1
AGT5069,South,2023-09-07,10,3,27397.37,0
AGT5070,Central,2023-02-08,7,3,28298.98,0
AGT5071,Central,2023-10-07,13,2,28443.82,5
AGT5072,North,2025-07-17,14,5,29344.83,0
AGT5073,North,2022-06-23,10,1,30469.58,0
AGT5074,North,2024-01-16,7,2,30000.31,1
AGT5075,Central,2024-02-15,7,2,26885.85,0
AGT5076,South,2022-08-25,8,2,29282.79,1
