policy_id,customer_id,product_type,coverage_amount,annual_premium,policy_start_date,policy_end_date,agent_id,status
POL50000,CUST10981,Whole,678451.61,35791.33,2021-05-03,2022-05-03,AGT5097,Lapsed
POL50001,CUST10668,Vehicle,620860.29,32059.9,2021-01-12,2022-01-12,AGT5176,Cancelled
POL50002,CUST11630,Whole,621616.05,33588.95,2022-11-29,2023-11-29,AGT5083,Lapsed
POL50003,CUST11199,Vehicle,460719.82,24120.8,2024-06-08,2025-06-08,AGT5083,Active
POL50004,CUST10019,Health,425070.15,20226.38,2022-10-20,2023-10-20,AGT5007,Active
POL50005,CUST11386,Whole,396231.38,19809.52,2020-12-16,2021-12-16,AGT5060,Active
POL50006,CUST11165,Term,440303.44,21593.99,2024-07-30,2025-07-30,AGT5256,Active
POL50007,CUST10931,Property,514545.29,24005.55,2021-06-03,2022-06-03,AGT5179,Lapsed
POL50008,CUST10398,Whole,593179.09,28012.15,2022-06-18,2023-06-18,AGT5110,Active
POL50009,CUST10249,Health,395783.0,18938.84,2025-02-04,2026-02-04,AGT5006,Active
POL50010,CUST11048,Whole,599665.29,28026.22,2023-05-24,2024-05-24,AGT5102,Active
POL50011,CUST10724,Vehicle,477535.01,22526.8,2026-07-28,2027-07-28,AGT5114,Lapsed
POL50012,CUST11424,Vehicle,473997.31,25673.56,2025-07-04,2026-07-04,AGT5035,Cancelled
POL50013,CUST10433,Health,681780.47,33020.26,2026-08-10,2027-08-10,AGT5182,Active
POL50014,CUST11061,Health,697320.59,37149.87,2024-01-25,2025-01-25,AGT5198,Active
POL50015,CUST10415,Term,691063.82,31542.85,2026-01-15,2027-01-15,AGT5299,Active
POL50016,CUST11060,Vehicle,398560.17,21848.31,2024-06-10,2025-06-10,AGT5107,Active
POL50017,CUST10082,Health,605021.1,31853.1,2023-11-15,2024-11-15,AGT5082,Active
POL50018,CUST10656,Term,449569.42,24306.94,2024-03-31,2025-03-31,AGT5246,Active
POL50019,CUST10290,Term,598657.93,30088.02,2022-10-10,2023-10-10,AGT5105,Active
POL50020,CUST11003,Property,729079.75,37434.88,2022-05-19,2023-05-19,AGT5189,Lapsed
POL50021,CUST10523,Term,526544.63,25594.38,2025-05-20,2026-05-20,AGT5221,Active
POL50022,CUST11277,Whole,742604.05,36625.46,2024-12-17,2025-12-17,AGT5263,Active
POL50023,CUST10189,Vehicle,645764.7,33907.44,2024-09-15,2025-09-15,AGT5095,Cancelled
POL50024,CUST10921,Property,500889.55,22790.32,2024-12-16,2025-12-16,AGT5186,Lapsed
POL50025,CUST10980,Whole,421543.12,19123.52,2023-10-17,2024-10-17,AGT5039,Cancelled
POL50026,CUST10041,Whole,698910.24,37565.87,2022-02-27,2023-02-27,AGT5233,Active
POL50027,CUST10061,Vehicle,551146.46,25407.89,2022-08-22,2023-08-22,AGT5013,Lapsed
POL50028,CUST10506,Vehicle,405478.14,21170.14,2024-03-02,2025-03-02,AGT5208,Lapsed
POL50029,CUST11011,Whole,424702.11,19959.06,2025-08-11,2026-08-11,AGT5062,Lapsed
POL50030,CUST11591,Health,688436.48,33500.76,2022-11-03,2023-11-03,AGT5138,Active
POL50031,CUST10150,Property,478555.75,22939.81,2021-04-05,2022-04-05,AGT5022,Active
POL50032,CUST11165,Vehicle,743371.47,37096.73,2024-12-10,2025-12-10,AGT5206,Active
POL50033,CUST11147,Term,641362.38,34163.2,2025-08-23,2026-08-23,AGT5144,Active
POL50034,CUST11107,Term,496137.36,26670.03,2021-03-01,2022-03-01,AGT5199,Lapsed
POL50035,CUST10855,Property,532735.23,25155.99,2021-01-17,2022-01-17,AGT5104,Lapsed
POL50036,CUST11599,Whole,684159.8,33097.25,2026-01-02,2027-01-02,AGT5002,Active
POL50037,CUST10830,Term,547610.81,29225.53,2023-07-13,2024-07-13,AGT5174,Active
POL50038,CUST11382,Vehicle,406255.79,18645.66,2023-05-08,2024-05-08,AGT5209,Active
POL50039,CUST10433,Whole,473478.44,21860.01,2022-11-21,2023-11-21,AGT5199,Lapsed
POL50040,CUST11327,Health,651120.74,32423.09,2023-10-31,2024-10-31,AGT5078,Active
POL50041,CUST11644,Term,647090.43,34232.02,2024-03-15,2025-03-15,AGT5214,Cancelled
POL50042,CUST11507,Whole,577891.2,27946.68,2023-10-15,2024-10-15,AGT5162,Active
POL50043,CUST10498,Term,475156.6,21711.96,2023-01-16,2024-01-16,AGT5063,Active
POL50044,CUST11398,Vehicle,557395.25,30477.63,2022-04-04,2023-04-04,AGT5033,Active
POL50045,CUST10158,Property,688706.89,37458.16,2023-09-01,2024-09-01,AGT5097,Active
POL50046,CUST11122,Property,416394.13,21452.22,2023-03-20,2024-03-20,AGT5006,Active
POL50047,CUST10568,Vehicle,754022.24,39072.5,2023-04-25,2024-04-25,AGT5214,Active
POL50048,CUST11089,Whole,716008.58,38905.72,2026-04-05,2027-04-05,AGT5004,Active
POL50049,CUST10686,Vehicle,498191.07,25626.27,2023-08-12,2024-08-12,AGT5014,Active
POL50050,CUST10017,Health,654701.85,34623.33,2026-07-07,2027-07-07,AGT5047,Active
POL50051,CUST10391,Vehicle,635688.09,31552.48,2025-08-13,2026-08-13,AGT5097,Active
POL50052,CUST10074,Health,583224.05,27574.85,2021-07-16,2022-07-16,AGT5005,Active
POL50053,CUST10708,Whole,438788.26,23398.53,2021-06-08,2022-06-08,AGT5188,Active
POL50054,CUST11386,Vehicle,720428.17,37349.75,2024-12-09,2025-12-09,AGT5039,Active
POL50055,CUST11221,Property,558381.59,26744.03,2021-06-13,2022-06-13,AGT5240,Lapsed
POL50056,CUST11301,Term,687931.39,35244.62,2024-11-25,2025-11-25,AGT5167,Active
POL50057,CUST11329,Vehicle,491219.99,26115.63,2025-11-08,2026-11-08,AGT5025,Active
POL50058,CUST10618,Vehicle,494425.39,23585.8,2021-05-19,2022-05-19,AGT5120,Lapsed
POL50059,CUST10839,Vehicle,742652.51,39124.06,2021-12-13,2022-12-13,AGT5042,Lapsed
POL50060,CUST10843,Whole,576214.07,26346.49,2023-07-07,2024-07-07,AGT5294,Lapsed
POL50061,CUST10187,Whole,408057.92,20912.76,2025-02-25,2026-02-25,AGT5177,Active
POL50062,CUST10988,Property,706747.06,38863.55,2026-05-04,2027-05-04,AGT5242,Active
POL50063,CUST11198,Property,472483.56,25355.24,2022-11-21,2023-11-21,AGT5112,Active
POL50064,CUST11015,Whole,723320.19,38883.22,2026-05-21,2027-05-21,AGT5044,Lapsed
POL50065,CUST11236,Term,731121.81,37874.72,2024-04-13,2025-04-13,AGT5070,Lapsed
POL50066,CUST10199,Health,375468.1,18627.68,2023-02-15,2024-02-15,AGT5125,Lapsed
POL50067,CUST11261,Vehicle,598158.25,30967.94,2021-05-25,2022-05-25,AGT5231,Lapsed
POL50068,CUST10356,Health,693533.44,33436.58,2024-02-08,2025-02-08,AGT5129,Active
POL50069,CUST11451,Health,675821.87,34147.71,2020-11-30,2021-11-30,AGT5278,Active
POL50070,CUST10409,Health,533835.15,26903.58,2021-08-05,2022-08-05,AGT5108,Active
POL50071,CUST10814,Property,646989.88,32632.42,2022-11-26,2023-11-26,AGT5069,Active
POL50072,CUST10807,Health,561491.71,27580.4,2026-08-15,2027-08-15,AGT5148,Lapsed
POL50073,CUST10443,Whole,463252.54,22480.73,2022-06-29,2023-06-29,AGT5033,Active
POL50074,CUST10597,Vehicle,624833.08,30181.65,2023-08-04,2024-08-04,AGT5200,Active
POL50075,CUST10316,Vehicle,503927.37,23809.21,2025-06-03,2026-06-03,AGT5030,Active
POL50076,CUST10941,Whole,515119.19,25439.4,2021-07-11,2022-07-11,AGT5192,Active
POL50077,CUST11511,Whole,546695.44,25245.0,2024-03-18,2025-03-18,AGT5114,Cancelled
POL50078,CUST10523,Whole,713088.1,38517.98,2020-12-18,2021-12-18,AGT5107,Lapsed
POL50079,CUST10842,Health,433421.04,19805.97,2026-01-15,2027-01-15,AGT5183,Lapsed
POL50080,CUST11424,Term,477177.02,25468.94,2026-01-03,2027-01-03,AGT5211,Active
POL50081,CUST10747,Whole,387825.87,18387.79,2021-12-19,2022-12-19,AGT5278,Active
POL50082,CUST11370,Health,404252.4,21640.52,2025-08-03,2026-08-03,AGT5086,Active
POL50083,CUST10736,Whole,761791.53,39767.55,2023-08-10,2024-08-10,AGT5243,Lapsed
POL50084,CUST10725,Whole,552039.93,29925.95,2021-05-29,2022-05-29,AGT5250,Active
POL50085,CUST10263,Whole,460138.41,24710.5,2022-10-07,2023-10-07,AGT5298,Active
POL50086,CUST10209,Property,756787.5,39361.18,2025-11-23,2026-11-23,AGT5289,Lapsed
POL50087,CUST11016,Health,359491.25,16722.38,2023-03-07,2024-03-07,AGT5237,Lapsed
POL50088,CUST11364,Term,566209.48,28588.17,2024-02-11,2025-02-11,AGT5088,Active
POL50089,CUST10225,Term,688455.71,33320.07,2024-01-26,2025-01-26,AGT5208,Active
POL50090,CUST11507,Term,676332.82,36425.77,2026-01-28,2027-01-28,AGT5235,Cancelled
POL50091,CUST10595,Property,457848.65,24596.68,2025-05-12,2026-05-12,AGT5087,Lapsed
POL50092,CUST10706,Health,597726.39,28774.77,2023-07-11,2024-07-11,AGT5244,Lapsed
POL50093,CUST11480,Whole,624581.11,32301.46,2024-12-29,2025-12-29,AGT5210,Active
POL50094,CUST11482,Vehicle,633254.41,30638.65,2024-04-22,2025-04-22,AGT5147,Active
POL50095,CUST10868,Whole,487450.35,25241.11,2025-03-31,2026-03-31,AGT5258,Lapsed
POL50096,CUST10453,Whole,697132.74,35650.47,2023-09-14,2024-09-14,AGT5026,Active
POL50097,CUST10288,Vehicle,589391.78,29534.12,2023-06-10,2024-06-10,AGT5205,Active
